id,fornecedor_id,categoria_id,nome
1,1,1,Lenin Jeansshorts
15,6,2,Sumi Underwear
44,20,2,Okkaba Skin Jackets
67,16,2,X-Dress
76,23,2,Minnki Pälsii
25,11,3,Basket Vest
55,25,3,Feiss Fleece Trousers
62,29,3,Sheat Shoes
43,20,4,Summer Shorts
64,12,5,WFS shoes
42,20,5,Balett Shoes
28,12,7,RDL Suit
36,17,8,Mehmet-Tröja
13,6,8,Aino Shoes
2,1,1,Mr X Trousers
70,7,1,US-Master Jeans
65,2,2,Stretch oui-pants
33,15,3,Car Boots
68,8,3,Cap
54,25,3,Patamonia Fleece Jacket
61,29,3,Adihash Running Shoe
35,16,4,LA. Shorts
72,14,4,Rossi Shorts
52,24,5,Small Crocodile Boots
48,22,6,Root Boot
51,24,6,Snake Boots
74,4,7,Nikee Running Shoes
7,3,7,Conserve Shoes
10,4,8,Sapporoo Gloves
41,19,8,Duck Shirt
46,21,8,Rodbye Troje
75,12,1,Bow tie
24,10,1,Samba Socker  Socks
16,7,3,Wimbledon T-Shirt
29,12,6,Davenport
71,15,1,Atles Lussekofta
11,5,1,Desperado Jeans
6,3,2,Shagall Socks
8,3,2,Tuxedo
53,24,2,Jumpin Jack Flash Dress
39,18,2,Terence Top
3,1,2,Chantell Shirt
77,12,2,Skirt
4,2,2,Oyaki Kimono
63,7,2,Serve-Shirt
66,2,2,Langoste Shirt
60,28,3,Game Over T-Shirt
59,28,3,Rasta WCT
69,15,3,Racing Truck  Socks
19,8,3,Squash Shorts
21,8,3,Basket Shoes
50,23,3,Finnish Swimsuit
26,11,3,Bike Helmet
12,5,4,Tiny Winy Hot Bikini
32,14,4,Rossi Bikkini
31,14,4,Rossi Bermuda Shorts
34,16,4,Baywatch Bikkini
22,9,5,Ravellis Träskor
23,9,5,DSW
57,26,5,Burned Rubber Shoes
56,26,5,High Heels Shoes
17,7,6,TieBreak Tennis shoes
45,21,6,Danske Treshoe
9,4,6,Fuji Boots
14,6,7,Kool Sunglasses
73,17,8,Mehmet-Napp
40,19,8,Duck Trousers
18,7,8,Deuce shirt
30,13,8,Baby Dark Lounge Suit
58,27,8,Ga-Ga Dress
38,18,2,Le Baby Dress
49,23,3,Finnish Sport Blades
5,2,1,O-Man Underwear
20,8,3,Tennis Suit
37,17,8,Mehmet-Skor
47,22,6,Lundenhagen Boots
27,11,3,Tracksuit
