pedido_id,produto_id,transportadora_id,quantidade,valor_vendas,custo_vendas,margem_bruta,frete,desconto
10413.0,1.0,1.0,24.0,504.24,417.5107,86.7293,64.69,0.0
10500.0,15.0,1.0,12.0,81.018,63.8885,17.1295,53.28,3.858
10832.0,44.0,1.0,16.0,1308.288,961.5917,346.6963,30.97,218.048
10923.0,67.0,1.0,24.0,1842.336,1354.117,488.219,76.9,307.056
10413.0,76.0,1.0,14.0,5809.44,4810.2163,999.2237,64.69,0.0
10425.0,76.0,1.0,20.0,9035.75,5985.2808,3050.4692,23.12,1807.15
10832.0,25.0,1.0,10.0,165.6,121.716,43.884,30.97,27.6
10425.0,55.0,1.0,10.0,450.5,298.4112,152.0888,23.12,90.1
10413.0,62.0,1.0,40.0,1214.8,1005.8544,208.9456,64.69,0.0
10923.0,43.0,1.0,10.0,154.08,113.2488,40.8312,76.9,25.68
10832.0,64.0,1.0,3.0,99.18,87.4768,11.7032,30.97,0.0
10923.0,42.0,1.0,10.0,158.4,116.424,41.976,76.9,26.4
10500.0,28.0,1.0,8.0,394.128,310.7981,83.3299,53.28,18.768
10371.0,36.0,1.0,6.0,55.944,40.2797,15.6643,66.09,9.324
10832.0,13.0,1.0,3.0,92.16,67.7376,24.4224,30.97,15.36
10610.0,36.0,1.0,21.0,198.975,128.9358,70.0392,67.44,39.795
10806.0,2.0,1.0,20.0,476.5,308.772,167.728,38.16,95.3
10850.0,70.0,1.0,30.0,927.705,711.5094,216.1956,58.8,121.005
10806.0,65.0,1.0,2.0,18.94,15.3414,3.5986,38.16,0.0
10850.0,33.0,1.0,4.0,121.164,92.9275,28.2365,58.8,15.804
10334.0,68.0,1.0,10.0,127.4,116.7875,10.6125,41.01,0.0
10450.0,54.0,1.0,6.0,253.584,174.973,78.611,39.15,42.264
10850.0,25.0,1.0,20.0,318.32,244.1376,74.1824,58.8,41.52
10814.0,61.0,1.0,30.0,936.675,659.745,276.93,76.36,122.175
10546.0,62.0,1.0,40.0,1180.4,956.124,224.276,37.46,0.0
10546.0,35.0,1.0,30.0,181.8,147.258,34.542,37.46,0.0
10814.0,43.0,1.0,20.0,283.36,199.584,83.776,76.36,36.96
10459.0,72.0,1.0,40.0,512.4,424.2672,88.1328,26.28,0.0
10334.0,52.0,1.0,8.0,582.08,502.9171,79.1629,41.01,0.0
10814.0,48.0,1.0,8.0,304.52,214.488,90.032,76.36,39.72
10843.0,51.0,1.0,4.0,473.6,334.1722,139.4278,46.32,94.72
10806.0,74.0,1.0,15.0,540.5625,350.2845,190.278,38.16,108.1125
10546.0,7.0,1.0,10.0,434.6,352.026,82.574,37.46,0.0
10459.0,7.0,1.0,16.0,655.872,517.2019,138.6701,26.28,31.232
10478.0,10.0,1.0,20.0,138.6,109.296,29.304,28.49,6.6
10450.0,10.0,1.0,20.0,183.36,127.4957,55.8643,39.15,30.56
10814.0,41.0,1.0,20.0,177.6,143.856,33.744,76.36,0.0
10459.0,46.0,1.0,20.0,251.58,198.3888,53.1912,26.28,11.98
10785.0,75.0,2.0,10.0,80.4,65.124,15.276,60.35,0.0
10984.0,24.0,2.0,20.0,92.8,81.8496,10.9504,31.11,0.0
10984.0,16.0,2.0,55.0,552.75,487.5255,65.2245,31.11,0.0
10268.0,72.0,2.0,4.0,50.56,43.6838,6.8762,69.28,0.0
10268.0,29.0,2.0,10.0,1173.0,1013.472,159.528,69.28,0.0
10785.0,10.0,2.0,10.0,64.2,52.002,12.198,60.35,0.0
10984.0,36.0,2.0,40.0,350.0,315.8472,34.1528,31.11,0.0
10520.0,24.0,2.0,8.0,37.44,31.0003,6.4397,31.78,0.0
10722.0,2.0,2.0,3.0,58.41,47.3121,11.0979,71.33,0.0
10312.0,75.0,2.0,10.0,76.3,65.9232,10.3768,76.68,0.0
11003.0,1.0,2.0,4.0,76.0,67.032,8.968,28.52,0.0
10309.0,71.0,2.0,3.0,89.28,77.1379,12.1421,71.58,0.0
10695.0,24.0,2.0,20.0,98.4,79.704,18.696,40.99,0.0
10355.0,24.0,2.0,25.0,116.5,100.656,15.844,75.77,0.0
10946.0,24.0,2.0,25.0,115.75,102.0915,13.6585,47.58,0.0
11000.0,24.0,2.0,30.0,162.75,114.8364,47.9136,77.16,32.55
10335.0,2.0,2.0,7.0,163.884,117.9965,45.8875,46.91,27.314
10736.0,75.0,2.0,20.0,151.0,122.31,28.69,63.69,0.0
10517.0,70.0,2.0,6.0,186.54,154.4551,32.0849,37.44,0.0
10420.0,70.0,2.0,8.0,276.056,207.7949,68.2611,79.18,25.096
10646.0,1.0,2.0,15.0,364.6875,236.3175,128.37,58.82,72.9375
10722.0,75.0,2.0,42.0,309.12,250.3872,58.7328,71.33,0.0
10701.0,71.0,2.0,20.0,739.68,520.992,218.688,34.44,96.48
10298.0,2.0,2.0,40.0,701.6,606.1824,95.4176,78.52,0.0
10380.0,70.0,2.0,30.0,814.5,674.406,140.094,77.11,0.0
10646.0,71.0,2.0,30.0,1125.0,729.0,396.0,58.82,225.0
10440.0,2.0,2.0,45.0,1046.385,753.3972,292.9878,73.65,136.485
10442.0,11.0,2.0,30.0,919.2,761.0976,158.1024,23.33,0.0
10912.0,11.0,2.0,40.0,1275.0,899.64,375.36,59.74,255.0
10800.0,11.0,2.0,50.0,1600.5,1178.55,421.95,51.05,145.5
10458.0,71.0,2.0,50.0,1502.0,1243.656,258.344,63.98,0.0
10373.0,71.0,2.0,50.0,1907.4,1373.328,534.072,25.5,317.9
10309.0,6.0,2.0,30.0,110.7,95.6448,15.0552,71.58,0.0
10695.0,8.0,2.0,10.0,182.0,147.42,34.58,40.99,0.0
10712.0,53.0,2.0,3.0,185.535,148.9353,36.5997,23.09,8.835
10661.0,39.0,2.0,3.0,236.268,159.4809,76.7871,63.6,39.378
10503.0,65.0,2.0,20.0,197.4,181.1092,16.2908,29.87,0.0
10520.0,53.0,2.0,5.0,284.5,235.566,48.934,31.78,0.0
10736.0,65.0,2.0,40.0,374.0,302.94,71.06,63.69,0.0
10742.0,3.0,2.0,20.0,394.0,319.14,74.86,37.65,0.0
11000.0,77.0,2.0,30.0,372.6,328.6332,43.9668,77.16,0.0
10646.0,77.0,2.0,35.0,576.1875,373.3695,202.818,58.82,115.2375
10309.0,4.0,2.0,20.0,432.8,373.9392,58.8608,71.58,0.0
11000.0,4.0,2.0,25.0,637.1875,449.5995,187.588,77.16,127.4375
10946.0,77.0,2.0,40.0,547.6,482.9832,64.6168,47.58,0.0
10429.0,63.0,2.0,35.0,951.5625,630.315,321.2475,48.41,190.3125
11034.0,44.0,2.0,12.0,879.48,775.7014,103.7786,54.81,0.0
10442.0,66.0,2.0,60.0,1168.8,967.7664,201.0336,23.33,0.0
10380.0,53.0,2.0,20.0,1341.12,1053.3888,287.7312,77.11,121.92
10312.0,53.0,2.0,20.0,1264.6,1092.6144,171.9856,76.68,0.0
10388.0,53.0,2.0,40.0,2511.6,2079.6048,431.9952,44.7,0.0
10701.0,76.0,2.0,35.0,14456.1901,10182.186,4274.0041,34.44,1885.5901
10380.0,60.0,2.0,6.0,31.68,24.8832,6.7968,77.11,2.88
10517.0,59.0,2.0,4.0,33.2,27.4896,5.7104,37.44,0.0
10350.0,69.0,2.0,18.0,36.234,28.4602,7.7738,67.66,3.294
10519.0,60.0,2.0,10.0,53.655,42.3108,11.3442,43.11,2.555
10651.0,19.0,2.0,12.0,137.25,94.8332,42.4168,59.87,27.45
11034.0,61.0,2.0,6.0,145.56,128.3839,17.1761,54.81,0.0
11034.0,21.0,2.0,15.0,178.86,143.4132,35.4468,54.81,16.26
10800.0,54.0,2.0,7.0,249.095,183.4245,65.6705,51.05,22.645
10350.0,50.0,2.0,15.0,272.085,213.7104,58.3746,67.66,24.735
10742.0,60.0,2.0,50.0,267.5,216.675,50.825,37.65,0.0
10298.0,59.0,2.0,30.0,343.125,237.168,105.957,78.52,68.625
10751.0,50.0,2.0,20.0,330.44,243.324,87.116,31.69,30.04
10567.0,59.0,2.0,40.0,386.88,261.8772,125.0028,40.24,64.48
10751.0,26.0,2.0,12.0,402.204,296.1684,106.0356,31.69,36.564
10701.0,59.0,2.0,42.0,420.693,296.3142,124.3788,34.44,54.873
10985.0,16.0,2.0,36.0,371.448,297.8338,73.6142,72.53,33.768
10815.0,33.0,2.0,16.0,447.36,362.3616,84.9984,45.86,0.0
10298.0,62.0,2.0,15.0,420.0,362.88,57.12,78.52,0.0
10440.0,16.0,2.0,49.0,520.674,374.8853,145.7887,73.65,67.914
10722.0,68.0,2.0,45.0,527.85,432.4704,95.3796,71.33,0.0
10415.0,33.0,2.0,20.0,516.8,464.8058,51.9942,29.01,0.0
10271.0,33.0,2.0,24.0,577.44,498.9082,78.5318,62.31,0.0
10429.0,50.0,2.0,40.0,686.0,568.008,117.992,48.41,0.0
10678.0,33.0,2.0,30.0,756.0,612.36,143.64,76.87,0.0
10458.0,26.0,2.0,30.0,846.3,700.7364,145.5636,63.98,0.0
10678.0,54.0,2.0,30.0,1074.3,870.183,204.117,76.87,0.0
